xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
102.84	255.825	4.25284	105.346	250.652	4.23683	103.742	253.968	4.25721	6.25717e-05	18.5	26.7279	3.99238	1.6991	0.904918	2.73035	1.63251	0.80156	6.76034	1.46843	0.976124	1	52
85.7859	258.579	5.20545	79.2034	252.511	5.94839	82.9739	255.991	5.55265	0.00316079	91.5	56.1838	5.74773	4.01668	0.715288	6.20629	3.32484	0.844395	10.4973	4.02538	0.923554	1	53
168.487	176.088	4.33908	171.107	170.413	4.35656	169.55	173.775	4.29293	0.000116033	26	30.9706	4.27375	2.08148	0.873381	3.24712	1.9327	0.803573	7.23986	1.86333	0.966313	1	54
123.479	108.737	2.42784	134.742	117.801	2.47402	129.302	113.43	2.46161	0.000956073	60	63.2548	7.71977	1.92233	0.9685	8.68122	1.91417	0.975388	16.6081	1.76372	0.994345	1	55
12.0311	106.196	1.42155	15.2372	117.76	1.86666	13.5512	111.669	1.82573	0.00389203	93	73.4558	5.98938	3.94988	0.751721	9.6791	3.16153	0.945151	14.3543	3.7379	0.9655	1	56
262.797	280.995	3.87077	268.862	275.984	3.80741	266.19	278.19	3.83074	9.53185e-05	43	36.2843	4.0358	2.21634	0.835711	5.14079	2.23595	0.900458	9.06462	2.07448	0.973461	2	0
76.6504	280.958	5.83728	72.4829	270.845	5.1587	75.125	277.223	5.16185	0.00725483	79	73.1127	6.15982	4.24806	0.724153	7.47238	3.09939	0.909922	12.26	4.42011	0.932747	2	2
105.13	250.148	1.06458	102.323	254.91	1.05454	103.516	252.903	1.03868	3.69976e-05	18.5	27.5563	3.07455	1.83889	0.801421	3.78572	1.70363	0.893021	6.64289	1.54334	0.972637	2	4
238.83	228.73	2.13604	245.084	235.82	2.04891	242.338	232.7	2.24787	0.00128998	104	61.598	5.0313	4.07377	0.586865	6.82055	3.91194	0.819169	11.1151	4.02	0.932306	2	6
144.055	246.197	4.10738	143.722	231.608	5.04495	143.92	240.205	4.7112	0.00265326	73.5	84.5269	8.47519	3.86222	0.890129	9.28796	1.65031	0.984088	16.4102	4.95071	0.953408	2	7
